ipr	description
IPR040364	Tetratricopeptide repeat protein 21A/21B
IPR040842	Sorting nexin-17/31, FERM domain
IPR043133	GTP cyclohydrolase I, C-terminal/NADPH-dependent 7-cyano-7-deazaguanine reductase
IPR041243	STI1/HOP, DP domain
IPR036072	Class I myosin, motor domain
IPR000182	GNAT domain
IPR016438	ATP-dependent RNA helicase SKI2-like
IPR036860	SH2 domain superfamily
IPR000727	Target SNARE coiled-coil homology domain
IPR003338	CDC48, N-terminal subdomain
IPR013346	Ribonucleotide reductase, class I , alpha subunit
IPR002466	Adenosine deaminase/editase
IPR033551	Dynein regulatory complex subunit 7
IPR006554	Helicase-like, DEXD box c2 type
IPR006555	ATP-dependent helicase, C-terminal
IPR010614	RAD3-like helicase, DEAD
IPR041978	Spt5, KOW domain repeat 5
IPR006034	Asparaginase/glutaminase-like
IPR027474	L-asparaginase, N-terminal
IPR036152	Asparaginase/glutaminase-like superfamily
IPR037152	L-asparaginase, N-terminal domain superfamily
IPR012582	DNA-dependent protein kinase catalytic subunit, CC3
IPR046803	DNA-dependent protein kinase catalytic subunit, CC1/2
IPR012677	Nucleotide-binding alpha-beta plait domain superfamily
IPR019323	Active zone protein ELKS
IPR039679	Nuclear receptor-binding factor 2
IPR003749	Sulfur carrier ThiS/MoaD-like
IPR000591	DEP domain
IPR006026	Peptidase, metallopeptidase
IPR004853	Sugar phosphate transporter domain
IPR047138	Rhophilin-1/2
IPR046879	KANL3/Tex30, alpha/beta hydrolase-like domain
IPR013126	Heat shock protein 70 family
IPR002099	DNA mismatch repair protein MutL/Mlh/PMS
IPR000690	Matrin/U1-C, C2H2-type zinc finger
IPR013085	U1-C, C2H2-type zinc finger
IPR038830	Coiled-coil domain-containing protein 186
IPR026805	GW182, middle domain
IPR010339	TIP49, P-loop domain
IPR041048	RuvB-like, AAA-lid domain
IPR037903	MONaKA, PX domain
IPR034769	Cleavage and polyadenylation specificity factor subunit 6
IPR018979	FERM, N-terminal
IPR012404	Nucleotide-sugar transporter-related
IPR043446	Neurabin-like family
IPR036604	Phosphoribosylformylglycinamidine synthase subunit PurS-like superfamily
IPR040707	Phosphoribosylformylglycinamidine synthase, N-terminal
IPR004114	THUMP domain
IPR020598	Ribosomal RNA adenine methylase transferase, N-terminal
IPR044713	DnaJ homolog subfamily A member 1/2-like
IPR037621	Liprin-alpha, SAM domain repeat 2
IPR031959	Protein of unknown function DUF4779
IPR033393	Nuclear receptor-binding factor 2, MIT domain
IPR039323	Ankyrin repeat domain-containing protein 60
IPR010472	Formin, FH3 domain
IPR033294	Erlin1/2
IPR001509	NAD-dependent epimerase/dehydratase
IPR005599	GPI mannosyltransferase
IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain
IPR001349	Cytochrome c oxidase, subunit VIa
IPR027995	Galactosyltransferase, N-terminal
IPR000716	Thyroglobulin type-1
IPR036857	Thyroglobulin type-1 superfamily
IPR010675	RNA methyltransferase bin3, C-terminal
IPR039772	RNA methyltransferase Bin3-like
IPR002121	HRDC domain
IPR024789	Anaphase-promoting complex subunit 4
IPR024790	Anaphase-promoting complex subunit 4, long domain
IPR039547	60S ribosomal protein L19
IPR045216	Casein Kinase 2, subunit alpha
IPR034035	Astacin-like metallopeptidase domain
IPR000056	Ribulose-phosphate 3-epimerase-like
IPR026019	Ribulose-phosphate 3-epimerase
IPR020309	Uncharacterised protein family, CD034/YQF4
IPR000811	Glycosyl transferase, family 35
IPR011833	Glycogen/starch/alpha-glucan phosphorylase
IPR018270	Concentrative nucleoside transporter, metazoan/bacterial
IPR003149	Iron hydrogenase, small subunit
IPR010304	Survival motor neuron, Tudor domain
IPR041609	Phosphoribosylformylglycinamidine synthase, linker domain
IPR015433	Phosphatidylinositol kinase
IPR038552	Tim21 IMS domain superfamily
IPR019364	Mediator complex, subunit Med8, fungi/metazoa
IPR002653	Zinc finger, A20-type
IPR025687	C4-type zinc-finger of DNA polymerase delta
IPR036046	Acylphosphatase-like domain superfamily
IPR020828	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain
IPR020829	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain
IPR020831	Glyceraldehyde/Erythrose phosphate dehydrogenase family
IPR007209	RNase L inhibitor RLI-like, possible metal-binding domain
IPR011129	Cold shock domain
IPR028643	Inhibitor of growth protein 1
IPR011390	Insulin-like growth factor binding protein-related protein (IGFBP-rP), MAC25
IPR036047	F-box-like domain superfamily
IPR040008	39S ribosomal protein L46, mitochondrial
IPR014752	Arrestin-like, C-terminal
IPR036683	CO dehydrogenase flavoprotein, C-terminal domain superfamily
IPR024201	Calcineurin-like phosphoesterase
IPR018902	Uncharacterised protein FAM166/UPF0605
IPR044439	EZH2, SET domain
IPR005324	Ribosomal protein S5, C-terminal
IPR001063	Ribosomal protein L22/L17
IPR036394	Ribosomal protein L22/L17 superfamily
IPR029525	INO80 complex, subunit Ies6
IPR008146	Glutamine synthetase, catalytic domain
IPR036651	Glutamine synthetase, N-terminal domain superfamily
IPR011941	DNA recombination/repair protein Rad51
IPR016300	Arsenical pump ATPase, ArsA/GET3
IPR025723	Anion-transporting ATPase-like domain
IPR037835	SNX27, RA domain
IPR037849	ADAP, PH domain 1
IPR037851	ADAP, PH domain 2
IPR038168	Transcription factor DP, C-terminal domain superfamily
IPR040815	Nas2, N-terminal
IPR045127	Transcription initiation factor TFIID subunit 11-like
IPR045244	Phosphoglucomutase
IPR004307	TspO/MBR-related protein
IPR038330	TspO/MBR-related superfamily
IPR025607	Ribosomal protein L5 eukaryotic, C-terminal
IPR039776	Sister chromatid cohesion protein Pds5
IPR014929	E2 binding
IPR039913	RNA polymerase II-associated protein RPAP1/Rba50
IPR035269	26S Proteasome non-ATPase regulatory subunit 9
IPR031950	116kDa U5 small nuclear ribonucleoprotein component, N-terminal
IPR042622	Zinc finger protein 106
IPR042791	CDK5 regulatory subunit-associated protein 2
IPR005793	Formyl transferase, C-terminal
IPR019577	SPARC/Testican, calcium-binding domain
IPR010300	Cysteine dioxygenase type I
IPR037129	XPA domain superfamily
IPR021151	GINS subunit, domain A
IPR021905	Domain of unknown function DUF3517
IPR017359	Uncharacterised conserved protein UCP038021, RWD
IPR036690	Ferrodoxin-fold anticodon-binding domain superfamily
IPR004030	Nitric oxide synthase, N-terminal
IPR013035	Phosphoenolpyruvate carboxykinase, C-terminal
IPR035077	Phosphoenolpyruvate carboxykinase, C-terminal P-loop domain
IPR004776	Membrane transport protein
IPR011706	Multicopper oxidase, C-terminal
IPR032394	Anoctamin, dimerisation domain
IPR037706	DNA-dependent protein kinase catalytic subunit, catalytic domain
IPR023451	Thymidylate synthase/dCMP hydroxymethylase domain
IPR036926	Thymidylate synthase/dCMP hydroxymethylase superfamily
IPR002951	Atrophin-like
IPR008559	Calcium load-activated calcium channel
IPR015022	Microtubule-associated serine/threonine-protein kinase, pre-PK domain
IPR015868	Glutaminase
IPR021925	Large proline-rich protein BAG6
IPR023142	Microtubule-associated serine/threonine-protein kinase, pre-PK domain superfamily
IPR025451	Domain of unknown function DUF4211
IPR033860	Brcc36 isopeptidase
IPR034159	SF3B4, RNA recognition motif 2
IPR035753	RIMS-binding protein, second SH3 domain
IPR035755	RIMS-binding protein, third SH3 domain
IPR039037	Calcium homeostasis endoplasmic reticulum protein
IPR040325	RIMS-binding protein 1/2/3
IPR041541	Glutaminase, EF-hand domain
IPR042234	WD repeat and FYVE domain-containing protein 1/2
IPR043548	1-phosphatidylinositol-3phosphate-5-kinase
IPR044769	1-phosphatidylinositol-3-phosphate 5-kinase, PIPK catalytic domain
IPR047558	Heme-oxidized IRP2 ubiquitin ligase 1, BRcat domain
IPR047559	Heme-oxidized IRP2 ubiquitin ligase 1, modified RING finger, HC subclass
IPR012848	Aspartic peptidase, N-terminal
IPR019528	Pericentrin/AKAP-450 centrosomal targeting domain
IPR031962	Domain of unknown function DUF4781
IPR017984	Chromo domain subgroup
IPR017340	U1 small nuclear ribonucleoprotein C
IPR041686	Zinc-finger CCCH domain
IPR013877	YAP-binding/ALF4/Glomulin
IPR019985	Ribosomal protein L23
IPR036514	SGNH hydrolase superfamily
IPR015943	WD40/YVTN repeat-like-containing domain superfamily
IPR028026	Domain of unknown function DUF4502
IPR021773	Trafficking protein particle complex subunit 11
IPR043971	FUZ/MON1/HPS1, second Longin domain
IPR010625	CHCH
IPR030667	NEDD8-activating enzyme E1 regulatory subunit APP-BP1
IPR016494	5'-3' exoribonuclease 1
IPR012198	cAMP-dependent protein kinase regulatory subunit
IPR001760	Opsin
IPR001732	UDP-glucose/GDP-mannose dehydrogenase, N-terminal
IPR006811	RNA polymerase II subunit A
IPR014027	UDP-glucose/GDP-mannose dehydrogenase, C-terminal
IPR017476	UDP-glucose/GDP-mannose dehydrogenase
IPR025069	Cleavage and polyadenylation specificity factor 2, C-terminal
IPR027075	Cleavage and polyadenylation specificity factor subunit 2
IPR028356	UDP-glucose 6-dehydrogenase, eukaryotic type
IPR029321	Integrator complex subunit 2
IPR035639	CPSF2, metallo-hydrolase domain
IPR036220	UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily
IPR037666	Coiled-coil domain-containing protein 43
IPR038877	Thrombospondin type-1 domain-containing protein 1
IPR002516	Glycosyl transferase, family 11
IPR011022	Arrestin C-terminal-like domain
IPR038534	Rtr1/RPAP2 domain superfamily
IPR016082	Ribosomal protein L30, ferredoxin-like fold domain
IPR003109	GoLoco motif
IPR013915	Pre-mRNA-splicing factor 19
IPR002928	Myosin tail
IPR009316	COG complex component, COG2
IPR024603	COG complex component, COG2, C-terminal
IPR009100	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily
IPR021917	Uncharacterised protein family, zinc metallopeptidase-like
IPR019265	RNA transcription, translation and transport factor protein
IPR007695	DNA mismatch repair protein MutS-like, N-terminal
IPR047087	Ku70, core domain
IPR001854	Ribosomal protein L29/L35
IPR045059	60S ribosomal protein L35
IPR018607	Chromosome transmission fidelity protein 8
IPR026094	G protein pathway suppressor 2
IPR044488	Aldo-keto reductase family 2E
IPR018450	Romo1/Mgr2
IPR025887	Glycoside hydrolase family 31, N-terminal domain
IPR046987	Unconventional class IX myosin
IPR020091	Pleiotrophin/Midkine disulphide-rich domain superfamily
IPR006576	BRK domain
IPR037259	BRK domain superfamily
IPR000845	Nucleoside phosphorylase domain
IPR008954	Moesin tail domain superfamily
IPR029043	Glycine cleavage T-protein/YgfZ, C-terminal
IPR015819	Lipid transport protein, beta-sheet shell
IPR004134	Peptidase C1B, bleomycin hydrolase
IPR009613	Lipase maturation factor
IPR026069	Fuzzy protein
IPR040520	Importin 13 repeat
IPR045014	Transmembrane protein 41A/B
IPR004489	Succinate dehydrogenase/fumarate reductase iron-sulphur protein
IPR025192	Succinate dehydogenase/fumarate reductase N-terminal
IPR045313	Carbonyl reductase [NADPH] 1-like
IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
IPR045095	Ancient conserved domain protein family
IPR012678	Ribosomal protein L23/L15e core domain superfamily
IPR037325	Bromodomain adjacent to zinc finger domain protein 1A, bromodomain
IPR037436	Sorting nexin-14, PX domain
IPR012959	CPL domain
IPR040059	Pumilio homologue 3
IPR041470	Gamma tubulin complex component protein, N-terminal
IPR018846	Cleavage/polyadenylation specificity factor, A subunit, N-terminal
IPR004031	PMP-22/EMP/MP20/Claudin superfamily
IPR028163	HAUS augmin-like complex subunit 6, N-terminal
IPR001508	Ionotropic glutamate receptor, metazoa
IPR019186	Nucleolar protein 12
IPR041155	FERM F1 lobe ubiquitin-like domain
IPR035031	Vav, SH2 domain, invertebrate
IPR003994	Ubiquitously expressed transcript protein UXT
IPR002452	Alpha tubulin
IPR002634	BolA protein
IPR039171	Pre-mRNA-splicing factor Cwc2/Slt11
IPR006984	rRNA-processing protein Fcf1/Utp23
IPR045242	Syntaxin
IPR044004	Spondin-like TSP1 domain
IPR036375	Hemopexin-like domain superfamily
IPR014837	EF-hand, Ca insensitive
IPR011034	Formyl transferase-like, C-terminal domain superfamily
IPR036322	WD40-repeat-containing domain superfamily
IPR008072	Cytochrome P450, E-class, CYP3A
IPR001792	Acylphosphatase-like domain
IPR020456	Acylphosphatase
IPR031701	Homeobox protein SIX1, N-terminal SD domain
IPR017923	Transcription factor IIS, N-terminal
IPR046757	Vps72/YL1, N-terminal
IPR042770	RWD domain-containing protein 4
IPR008936	Rho GTPase activation protein
IPR030125	SPIN90/Ldb17
IPR027031	Glycyl-tRNA synthetase/DNA polymerase subunit gamma-2
IPR027531	Eukaryotic translation initiation factor 3 subunit F
IPR044121	Snu114, GTP-binding domain
IPR033593	N-terminal RASSF family
IPR032629	Mon2/Sec7/BIG1-like, dimerisation and cyclophilin-binding domain
IPR032055	Transmembrane protein 72
IPR024395	CLASP N-terminal domain
IPR037299	TRIM37, MATH domain
IPR001310	Histidine triad (HIT) protein
IPR032193	CCR4-NOT transcription complex subunit 1, TTP binding domain
IPR038535	CCR4-NOT subunit 1, TTP binding domain superfamily
IPR024951	Sulphate adenylyltransferase catalytic domain
IPR012675	Beta-grasp domain superfamily
IPR043158	Wnt, C-terminal domain
IPR018586	Brinker DNA-binding domain
IPR001986	Enolpyruvate transferase domain
IPR004507	Flavin prenyltransferase UbiX-like
IPR036968	Enolpyruvate transferase domain superfamily
IPR039802	Myotubularin-related protein 14
IPR000566	Lipocalin/cytosolic fatty-acid binding domain
IPR009318	Gustatory receptor
IPR038006	Transcription factor COE, IPT domain
IPR008814	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1
IPR018867	Cell division protein borealin
IPR039857	Intraflagellar transport protein 122/121 homolog
IPR006424	Glyceraldehyde-3-phosphate dehydrogenase, type I
IPR011907	Ribonuclease III
IPR047219	Histone-lysine N-methyltransferase 2A/2B, SET domain
IPR013021	Myo-inositol-1-phosphate synthase, GAPDH-like
IPR035105	Deoxycytidylate deaminase domain
IPR036734	Neurotransmitter-gated ion-channel ligand-binding domain superfamily
IPR001557	L-lactate/malate dehydrogenase
IPR024882	Nucleoporin p58/p45/NUP49
IPR019375	Ribosomal protein S28, mitochondrial
IPR038240	Stn1, C-terminal domain superfamily
IPR011990	Tetratricopeptide-like helical domain superfamily
IPR038291	SAP30, C-terminal domain superfamily
IPR005378	Vacuolar protein sorting-associated protein 35
IPR042491	Vacuolar protein sorting-associated protein 35, C-terminal
IPR016444	Synaptobrevin/Vesicle-associated membrane protein
IPR023621	Ribosomal protein L31e domain superfamily
IPR017597	Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y
IPR002495	Glycosyl transferase, family 8
IPR000868	Isochorismatase-like
IPR036380	Isochorismatase-like superfamily
IPR006113	6-phosphogluconate dehydrogenase, decarboxylating
IPR006369	Protohaem IX farnesyltransferase
IPR012506	Lysoplasmalogenase-like
IPR012791	3-oxoacid CoA-transferase, subunit B
IPR012792	3-oxoacid CoA-transferase, subunit A
IPR012901	Carnosine N-methyltransferase
IPR016496	GTPase HflX
IPR019139	Leucine-rich repeat flightless-interacting protein 1/2
IPR019171	Intermembrane space protein MIX23
IPR022091	TATA element modulatory factor 1, TATA binding
IPR022092	TATA element modulatory factor 1 DNA binding
IPR022409	PKD/Chitinase domain
IPR025121	GTPase HflX, N-terminal
IPR029145	Neuroblastoma-amplified sequence, N-terminal
IPR029324	Mitochondrial apoptosis-inducing factor, C-terminal domain
IPR029325	ITPR-interacting domain
IPR029705	VPS35 endosomal protein sorting factor-like
IPR029865	Dyslexia-associated protein KIAA0319-like
IPR031974	Programmed cell death protein 7
IPR032302	THO complex subunit 2, N-terminal domain
IPR035986	PKD domain superfamily
IPR037618	Liprin-beta, SAM domain repeat 2
IPR037808	Dedicator of cytokinesis C, C2 domain
IPR038401	Rev1, C-terminal domain superfamily
IPR039228	SUZ domain-containing protein 1
IPR042108	GTPase HflX, N-terminal domain superfamily
IPR044098	STAMBP/STALP-like, MPN domain
IPR012349	FMN-binding split barrel
IPR006875	Sarcoglycan complex subunit protein
IPR045258	ArfGAP ACAP1/2/3-like
IPR040233	CCD97-like, C-terminal
IPR010033	HAD-superfamily phosphatase, subfamily IIIC
IPR023115	Translation initiation factor IF- 2, domain 3
IPR000814	TATA-box binding protein
IPR000626	Ubiquitin-like domain
IPR037892	SNX14, RGS domain
IPR036925	Translation initiation factor IF-2, domain 3 superfamily
IPR026720	Cilia- and flagella-associated protein 91
IPR032840	CFAP91 domain
IPR044876	HRDC domain superfamily
IPR004115	GAD-like domain superfamily
IPR004524	Aspartate-tRNA ligase, type 1
IPR047089	Aspartate-tRNA ligase, type 1, anticodon recognition domain
IPR036873	Rhodanese-like domain superfamily
IPR015947	PUA-like superfamily
IPR019427	7TM GPCR, serpentine receptor class w (Srw)
IPR022708	Serine/threonine-protein kinase Atg1-like, tMIT domain
IPR006565	Bromodomain associated domain
IPR007783	Eukaryotic translation initiation factor 3 subunit D
IPR045888	Endoplasmic reticulum vesicle transporter
IPR005107	CO dehydrogenase flavoprotein, C-terminal
IPR020672	Ribose-5-phosphate isomerase, type A, subgroup
IPR026797	HAUS augmin-like complex subunit 6
IPR007271	Nucleotide-sugar transporter
IPR000648	Oxysterol-binding protein
IPR037239	Oxysterol-binding protein superfamily
IPR039540	UBL3-like, ubiquitin domain
IPR029437	BLOC-2 complex member HPS3, N-terminal domain
IPR007005	XAP5 protein
IPR024491	Selenoprotein SelK/SelG
IPR001308	Electron transfer flavoprotein alpha subunit/FixB
IPR014731	Electron transfer flavoprotein, alpha subunit, C-terminal
IPR033947	Electron transfer flavoprotein, alpha subunit, N-terminal
IPR005576	RNA polymerase Rpb7-like , N-terminal
IPR014748	Enoyl-CoA hydratase, C-terminal
IPR022905	DNA-directed RNA polymerase subunit Rpo11-like
IPR023943	Enolase-phosphatase E1
IPR025239	Domain of unknown function DUF4187
IPR039249	G patch domain-containing protein 11
IPR027266	GTP-binding protein TrmE/Aminomethyltransferase GcvT, domain 1
IPR042345	BTB/POZ domain-containing protein 7
IPR039931	EEIG1/2-like
IPR008467	Dynein 1 light intermediate chain
IPR037809	Dedicator of cytokinesis D, C2 domain
IPR036517	FF domain superfamily
IPR035899	Dbl homology (DH) domain superfamily
IPR025946	CABIT domain
IPR005037	Pre-mRNA-splicing factor 38
IPR040122	Importin beta family
IPR016093	MIR motif
IPR001630	cAMP response element binding (CREB) protein
IPR036300	Mir domain superfamily
IPR042179	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal domain superfamily
IPR019258	Mediator complex, subunit Med4
IPR007758	Nucleoporin, NSP1-like, C-terminal
IPR032008	E3 ubiquitin-protein ligase APD1-4, N-terminal
IPR009771	Ribosome control protein 1
IPR010598	D-glucuronyl C5-epimerase, C-terminal
IPR039721	D-glucuronyl C5-epimerase
IPR040096	RAB6A-GEF complex partner protein 1
IPR000701	Succinate dehydrogenase/fumarate reductase type B, transmembrane subunit
IPR014314	Succinate dehydrogenase, cytochrome b556 subunit
IPR035979	RNA-binding domain superfamily
IPR040346	GEX1/Brambleberry
IPR032640	AMP-activated protein kinase, glycogen-binding domain
IPR025980	ATP-sulfurylase PUA-like domain
IPR041362	Plexin, TIG domain 2
IPR037393	Bud22/Serum response factor-binding protein 1
IPR035994	Nucleoside phosphorylase superfamily
IPR006032	Ribosomal protein S12/S23
IPR004088	K Homology domain, type 1
IPR039918	Serine/threonine-protein phosphatase 4 regulatory subunit 4
IPR012937	Terminal nucleotidyltransferase
IPR015048	Domain of unknown function DUF1899
IPR019322	Mitochondrial import inner membrane translocase subunit Tim29
IPR017751	Glycerol-3-phosphate dehydrogenase, NAD-dependent, eukaryotic
IPR031717	Multifunctional 2-oxoglutarate metabolism enzyme, C-terminal
IPR036919	Ribosomal protein L30, ferredoxin-like fold domain superfamily
IPR041589	Dynein heavy chain 3, AAA+ lid domain
IPR009311	Interferon alpha-inducible protein IFI6/IFI27-like
IPR042241	Gamma-tubulin complex component, C-terminal domain superfamily
IPR038906	Tetratricopeptide repeat protein 36
IPR006379	HAD-superfamily hydrolase, subfamily IIB
IPR022151	Sox developmental protein N-terminal
IPR037617	Liprin-beta, SAM domain repeat 1
IPR003424	Egg-laying hormone/atrial gland peptide
IPR015416	Zinc finger, H2C2-type, histone UAS binding
IPR022558	Protein of unknown function DUF2654
IPR025703	Bifunctional protein PutA
IPR030676	Citrate carrier CitT-related
IPR042846	BTB/POZ domain-containing protein 19
IPR044714	BTB/POZ domain-containing protein AtSIBP1-like
IPR026319	Zinc finger C2HC domain-containing protein
IPR014848	Reduced growth phenotype protein 1
IPR037711	Microtubule-associated serine/threonine-protein kinase, catalytic domain
IPR044541	FAF1, UBA-like domain
IPR031802	FAM193, C-terminal
IPR046804	DNA-PKcs, N-terminal
IPR012719	T-complex protein 1, gamma subunit
IPR043128	Reverse transcriptase/Diguanylate cyclase domain
IPR041923	UBXN1, UBA domain
IPR001210	Ribosomal protein S17e
IPR036401	Ribosomal protein S17e-like superfamily
IPR031649	Voltage-dependent L-type calcium channel, IQ-associated domain
IPR022542	Focadhesin/RST, DUF3730
IPR045163	Focadhesin/RST1
IPR002901	Mannosyl-glycoprotein endo-beta-N-acetylglucosamidase-like domain
IPR027791	Galactosyltransferase, C-terminal
IPR004201	CDC48, domain 2
IPR033753	Glycine cleavage system H-protein/Simiate
IPR006094	FAD linked oxidase, N-terminal
IPR004879	Domain of unknown function DUF255
IPR024705	Spermatogenesis-associated protein 20
IPR046965	Cyclin A/B-like
IPR023238	FAM175 family
IPR011011	Zinc finger, FYVE/PHD-type
IPR033182	MICOS complex subunit MIC26/MIC27, animal
IPR036572	Doublecortin domain superfamily
IPR002136	Ribosomal protein L4/L1e
IPR023574	Ribosomal protein L4 domain superfamily
IPR026811	Cip1-interacting zinc finger protein
IPR034977	CPEB-1, RNA recognition motif 1
IPR004539	Translation elongation factor EF1A, eukaryotic/archaeal
IPR045219	PKD- and KLD-Associated Transmembrane
IPR037802	SAGA-associated factor 29
IPR011539	Rel homology domain (RHD), DNA-binding domain
IPR037059	Rel homology domain (RHD), DNA-binding domain superfamily
IPR029304	A-kinase anchor protein 2, C-terminal domain
IPR042779	MISP/MISP3
IPR039798	Sulfhydryl oxidase
IPR040986	Sulfhydryl oxidase, flavin adenine dinucleotide (FAD) binding domain
IPR041269	Sulfhydryl oxidase, Trx-like domain
IPR042568	Sulfhydryl oxidase, flavin adenine dinucleotide (FAD) binding domain superfamily
IPR039667	Dolichyldiphosphatase, PAP2 domain
IPR037874	Cdc42
IPR044712	NAD/FAD transporter SLC25A32-like
IPR015362	WIBG, Mago-binding
IPR036348	WIBG, N-terminal domain superfamily
IPR011044	Quinoprotein amine dehydrogenase, beta chain-like
IPR006645	NusG-like, N-terminal
IPR013548	Plexin, cytoplasmic RasGAP domain
IPR036513	STAS domain superfamily
IPR022712	Beta-Casp domain
IPR018627	Elongator complex protein 6
IPR026160	Resistance to inhibitors of cholinesterase protein 3
IPR032763	Resistance to inhibitors of cholinesterase protein 3, N-terminal
IPR004554	Hydroxymethylglutaryl-CoA reductase, eukaryotic/archaeal type
IPR001578	Peptidase C12, ubiquitin carboxyl-terminal hydrolase
IPR036959	Peptidase C12, ubiquitin carboxyl-terminal hydrolase superfamily
IPR005772	ATPase, V1 complex, subunit F, eukaryotic
IPR008218	ATPase, V1 complex, subunit F
IPR036906	ATPase, V1 complex, subunit F superfamily
IPR027503	Lon protease homologue, chloroplastic/mitochondrial
IPR035476	Phosphoglucose isomerase, SIS domain 1
IPR040057	Spermatogenesis-defective protein 39
IPR009543	Vacuolar protein sorting-associated protein 13, VPS13 adaptor binding domain
IPR002624	Deoxynucleoside kinase
IPR009008	Valyl/Leucyl/Isoleucyl-tRNA synthetase, editing domain
IPR036723	Alpha-catenin/vinculin-like superfamily
IPR021625	PI31 proteasome regulator, N-terminal
IPR000257	Uroporphyrinogen decarboxylase (URO-D)
IPR000307	Ribosomal protein S16
IPR000456	Ribosomal protein L17
IPR000652	Triosephosphate isomerase
IPR001075	NIF system FeS cluster assembly, NifU, C-terminal
IPR001189	Manganese/iron superoxide dismutase
IPR001241	DNA topoisomerase, type IIA
IPR001844	Chaperonin Cpn60/GroEL
IPR003698	Lipoyl synthase
IPR003782	Copper chaperone SCO1/SenC
IPR004540	Translation elongation factor EFG/EF2
IPR004733	Phosphoribosylformylglycinamidine cyclo-ligase
IPR004739	GMP synthase, glutamine amidotransferase
IPR006361	Uroporphyrinogen decarboxylase HemE
IPR013176	Vacuolar fusion protein Ccz1
IPR013506	DNA topoisomerase, type IIA, subunit B, domain 2
IPR013759	DNA topoisomerase, type IIA, subunit B, C-terminal
IPR014824	Scaffold protein Nfu/NifU, N-terminal
IPR015866	Serine-tRNA synthetase, type1, N-terminal
IPR019831	Manganese/iron superoxide dismutase, N-terminal
IPR019832	Manganese/iron superoxide dismutase, C-terminal
IPR020818	GroES chaperonin family
IPR023457	Methionine-tRNA synthetase, type 2
IPR023803	Ribosomal protein S16 domain superfamily
IPR031691	Lipoyl synthase, N-terminal
IPR035990	Triosephosphate isomerase superfamily
IPR036314	Manganese/iron superoxide dismutase, C-terminal domain superfamily
IPR036324	Manganese/iron superoxide dismutase, N-terminal domain superfamily
IPR036498	Scaffold protein Nfu/NifU, N-terminal domain superfamily
IPR037124	GroES chaperonin superfamily
IPR038071	UROD/MetE-like superfamily
IPR040250	Nucleobindin
IPR041534	PP2A regulatory subunit B'', EF-hand domain
IPR042476	Amyloid protein-binding protein 2
IPR047246	Threonine-tRNA ligase, class IIa, anticodon-binding domain
IPR038867	WW domain-containing adapter protein with coiled-coil
IPR013328	6-phosphogluconate dehydrogenase, domain 2
IPR041588	Integrase zinc-binding domain
IPR013130	Ferric reductase transmembrane component-like domain
IPR010561	Protein LIN-9/Protein ALWAYS EARLY
IPR013805	GrpE nucleotide exchange factor, coiled-coil
IPR033471	DIRP domain
IPR039461	Peptidase family M49
IPR045831	LIN-9, C-terminal
IPR001757	P-type ATPase
IPR038959	Pre-mRNA-processing factor 19
IPR022310	NAD/GMP synthase
IPR044574	ATPase ARIP4-like
IPR047250	TP53-binding protein 1-like, second BRCT domain
IPR047252	TP53-binding protein 1-like
IPR000253	Forkhead-associated (FHA) domain
IPR017337	Zinc finger Ran-binding domain-containing protein 2
IPR022052	Histone-binding protein RBBP4, N-terminal
IPR000747	Homeobox domain engrailed
IPR019549	Homeobox engrailed, C-terminal
IPR047313	Survival motor neuron protein, C-terminal oligomerization domain
IPR034212	PUF60, RNA recognition motif 3
IPR024079	Metallopeptidase, catalytic domain superfamily
IPR019153	DDRGK domain containing protein
IPR019164	Transmembrane protein 147
IPR027963	Meiosis-specific coiled-coil domain-containing protein MEIOC
IPR006723	Islet cell autoantigen Ica1, C-terminal
IPR006148	Glucosamine/galactosamine-6-phosphate isomerase
IPR038169	DC-UbP/UBTD2, N-terminal domain superfamily
IPR000219	Dbl homology (DH) domain
IPR000772	Ricin B, lectin domain
IPR026791	Dedicator of cytokinesis
IPR019330	LRP chaperone MESD
IPR031984	Solute carrier family 3 member 2, N-terminal domain
IPR010515	Collagenase NC10/endostatin
IPR043536	Host cell factor
IPR039150	Transcription elongation factor, mitochondrial
IPR019137	Nck-associated protein 1
IPR040214	Uncharacterized protein KIAA2026
IPR042814	MORN repeat-containing protein 5
IPR000196	Ribosomal protein L19/L19e
IPR015972	Ribosomal protein L19/L19e, domain 1
IPR033935	Ribosomal protein L19, eukaryotic
IPR035970	Ribosomal protein L19/L19e superfamily
IPR026085	Activating transcription factor 7-interacting protein
IPR013730	Fyv7/TAP26
IPR019535	Little elongation complex subunit 2 , C-terminal
IPR003887	LEM domain
IPR011015	LEM/LEM-like domain superfamily
IPR018870	Tti2 family
IPR027806	Harbinger transposase-derived nuclease domain
IPR015505	Coronin
